full_ticker,ticker,name,name_short,name_eng,listed_data,market,security_category,related_department,preferred,face_value,shares_available,corp_code,corp_code2,industry_code
KR7244460002,244460,올리패스,올리패스,OLIPASS Corporation,2019/09/20,KOSDAQ,주권,기술성장기업부,보통주,500,25582304,01070149,01070149,211
KR7226950004,226950,올릭스,올릭스,"Olix Pharmaceuticals, Inc.",2018/07/18,KOSDAQ,주권,기술성장기업부,보통주,500,13703160,01113718,01113718,70113
KR7057540007,057540,옴니시스템,옴니시스템,"Omnisystem Co., Ltd",2007/09/19,KOSDAQ,주권,우량기업부,보통주,500,46449355,00265005,00265005,272
KR7082210006,082210,옵트론텍,옵트론텍,OPTRONTEC Inc.,2005/06/24,KOSDAQ,주권,중견기업부,보통주,500,24383997,00327396,00327396,273
KR7109080002,109080,옵티시스,옵티시스,"OPTICIS CO., LTD.",2011/07/12,KOSDAQ,주권,벤처기업부,보통주,500,5636000,00660291,00660291,26410
KR7153710009,153710,옵티팜,옵티팜,"Optipharm. CO., LTD",2018/10/26,KOSDAQ,주권,기술성장기업부,보통주,500,14589458,00971726,00971726,21300
KR7051390003,051390,와이더블유,YW,YW COMPANY LIMITED,2001/11/15,KOSDAQ,주권,중견기업부,보통주,500,11355368,00296263,00296263,468
KR7321820003,321820,와이더플래닛,와이더플래닛,Wider Planet Inc.,2021/02/03,KOSDAQ,주권,기술성장기업부,보통주,500,6897482,01116502,01116502,582
KR7057030009,057030,와이비엠넷,YBM넷,"YBM NET, Inc.",2004/06/08,KOSDAQ,주권,중견기업부,보통주,500,16312697,00307222,00307222,857
KR7122990005,122990,와이솔,와이솔,"WiSoL CO., LTD.",2010/09/10,KOSDAQ,주권,우량기업부,보통주,500,28186941,00759294,00759294,2629
KR7232140004,232140,와이아이케이,와이아이케이,YIK Corporation,2015/12/24,KOSDAQ,주권,우량기업부,보통주,100,82045350,01109539,01109539,292
KR7065530008,065530,와이어블,와이어블,Wiable,2002/06/04,KOSDAQ,주권,중견기업부,보통주,500,52860000,00250137,00250137,61299
KR7067900001,067900,와이엔텍,와이엔텍,"Y-ENTEC CO.,LTD.",2005/12/23,KOSDAQ,주권,우량기업부,보통주,500,18199659,00190756,00190756,38220
KR7155650005,155650,와이엠씨,와이엠씨,"YMC Co., Ltd.",2012/11/15,KOSDAQ,주권,우량기업부,보통주,500,19974358,00870861,00870861,262
KR7251370003,251370,와이엠티,와이엠티,"YMT CO., LTD.",2017/04/27,KOSDAQ,주권,우량기업부,보통주,500,14954978,00602172,00602172,201
KR7066430000,066430,와이오엠,와이오엠,"Y-OPTICS MANUFACTURE Co., Ltd.",2002/12/24,KOSDAQ,주권,중견기업부,보통주,500,15855736,00370200,00370200,467
KR7193250008,193250,와이제이엠게임즈,와이제이엠게임즈,"YJM Games Co., Ltd.",2014/12/29,KOSDAQ,주권,중견기업부,보통주,100,57183559,01035678,01035678,2629
KR7273060004,273060,와이즈버즈,와이즈버즈,Wise birds Inc.,2017/08/07,KOSDAQ,주권,중견기업부,보통주,100,48542972,01236532,01236532,713
KR7019210004,019210,와이지-원,와이지-원,"YG-1 CO., LTD",1997/08/06,KOSDAQ,주권,중견기업부,보통주,500,30573819,00139719,00139719,25934
KR7122870009,122870,와이지엔터테인먼트,와이지엔터테인먼트,YG Entertainment Inc.,2011/11/23,KOSDAQ,주권,중견기업부,보통주,500,18436069,00613318,00613318,59201
KR7037270006,037270,와이지플러스보통주,YG PLUS,YG PLUS,2003/08/01,KOSPI,주권,,보통주,500,63429410,00249247,00249247,631
KR7011690005,011690,와이투솔루션보통주,와이투솔루션,Y2 Solution,1995/12/21,KOSPI,주권,,보통주,500,147235637,00144720,00144720,2611
KR7040300006,040300,와이티엔,YTN,YTN,2001/09/04,KOSDAQ,주권,중견기업부,보통주,1000,42000000,00200275,00200275,591
KR7332570001,332570,와이팜,와이팜,Wireless Amplifier Module Inc.,2020/07/31,KOSDAQ,주권,우량기업부,보통주,500,37141356,01015160,01015160,26299
KR7079000006,079000,와토스 코리아,와토스코리아,"WATOS COREA CO.,LTD",2005/11/15,KOSDAQ,주권,중견기업부,보통주,500,7200000,00455875,00455875,22222
KR7316140003,316140,우리금융지주보통주,우리금융지주,WooriFinancialGroup,2019/02/13,KOSPI,주권,,보통주,5000,722267683,01350869,,64992
KR7033660002,033660,우리금융캐피탈보통주,우리금융캐피탈,WOORI FINANCIAL CAPITAL,2009/06/25,KOSPI,주권,,보통주,5000,57545890,00209443,00209443,64911
KR7032820003,032820,우리기술,우리기술,"Woori Technology, Incorporation",2000/06/22,KOSDAQ,주권,벤처기업부,보통주,500,133212108,00231044,00231044,28123
KR7041190000,041190,우리기술투자,우리기술투자,"Woori Technology Investment Co., Ltd",2000/06/09,KOSDAQ,주권,벤처기업부,보통주,500,84000000,00231664,00231664,6491
KR7115440000,115440,우리넷,우리넷,"Woori-Net Co., Ltd.",2010/01/27,KOSDAQ,주권,벤처기업부,보통주,500,9136944,00664048,00664048,2641
KR7118000009,118000,우리들휴브레인보통주,우리들휴브레인,WOORIDUL HUEBRAIN,2009/12/30,KOSPI,주권,,보통주,500,80698804,00791209,00791209,4659
KR7046970000,046970,우리로,우리로,"WOORIRO CO., LTD",2012/11/27,KOSDAQ,주권,관리종목(소속부없음),보통주,500,28163495,00296005,00296005,467
KR7082850009,082850,우리바이오,우리바이오,"WOOREE BIO CO., LTD",2005/07/29,KOSDAQ,주권,중견기업부,보통주,500,45177878,00369107,00369107,28410
KR7215360009,215360,우리산업,우리산업,"WOORY INDUSTRIAL CO.,LTD.",2015/05/06,KOSDAQ,주권,우량기업부,보통주,500,9132163,01077577,01077577,303
KR7072470008,072470,우리산업홀딩스,우리산업홀딩스,"WOORY INDUSTRIAL HOLDINGS CO.,LTD.",2003/10/28,KOSDAQ,주권,중견기업부,보통주,500,18887341,00359623,00359623,303
KR7073560005,073560,우리손에프앤지 농업회사법인,우리손에프앤지,"Woorison F&G CO., LTD.",2016/07/27,KOSDAQ,주권,우량기업부,보통주,500,69237643,00413417,00413417,101
KR7153490008,153490,우리이앤엘,우리이앤엘,"WOOREE E&L CO.,Ltd.",2013/02/05,KOSDAQ,주권,중견기업부,보통주,500,51480000,00815095,00815095,2612
KR7037400009,037400,우리조명,우리조명,"WOOREE LIGHTING CO.,LTD",1999/12/16,KOSDAQ,주권,중견기업부,보통주,500,26173346,00155692,00155692,468
KR7010050003,010050,우리종합금융보통주,우리종금,Woori Investment Bank,1974/09/11,KOSPI,주권,,보통주,500,874203406,00104102,00104102,64919
